term,definition
kelembapan,"Jumlah uap air yang ada di udara."
tekanan atmosfer,"Gaya yang diberikan oleh berat atmosfer pada suatu permukaan."
el niño,"Pola iklim yang ditandai dengan pemanasan tidak normal di Samudra Pasifik bagian timur."
la niña,"Pola iklim yang ditandai dengan pendinginan tidak normal di Samudra Pasifik bagian timur."
tornado,"Pusaran angin yang berputar kencang dan menyentuh permukaan tanah."
siklon,"Sistem angin skala besar yang berputar mengelilingi pusat tekanan rendah."
antisiklon,"Sistem angin skala besar yang berputar mengelilingi pusat tekanan tinggi."
barometer,"Alat untuk mengukur tekanan udara."
anemometer,"Alat untuk mengukur kecepatan angin."
higrometer,"Alat untuk mengukur kelembapan udara."
termometer,"Alat untuk mengukur suhu."
penakar hujan,"Alat untuk mengukur jumlah curah hujan."
titik embun,"Suhu ketika udara menjadi jenuh dan embun mulai terbentuk."
front,"Batas antara dua massa udara yang berbeda."
front dingin,"Batas ketika udara dingin bergerak maju menggantikan udara hangat."
front hangat,"Batas ketika udara hangat bergerak maju menggantikan udara dingin."
front oklusi,"Batas ketika front dingin menyusul front hangat."
front stasioner,"Batas antara dua massa udara yang tidak bergerak signifikan."
jet stream,"Arus udara kencang di lapisan atas atmosfer."
angin pasat,"Angin timuran yang bertiup konstan di daerah tropis."
angin barat,"Angin dominan yang bertiup dari barat ke timur di lintang menengah."
angin timur kutub,"Angin dingin yang bertiup dari timur ke barat di daerah kutub."
muson,"Pola angin musiman yang menyebabkan periode hujan dan kemarau."
angin laut,"Angin yang bertiup dari laut ke darat pada siang hari."
angin darat,"Angin yang bertiup dari darat ke laut pada malam hari."
efek coriolis,"Penyimpangan arah angin akibat rotasi bumi."
isobar,"Garis pada peta cuaca yang menghubungkan titik dengan tekanan sama."
isoterm,"Garis pada peta cuaca yang menghubungkan titik dengan suhu sama."
awan,"Kumpulan uap air yang terkondensasi di atmosfer."
awan kumulus,"Awan putih berbentuk gumpalan dengan dasar datar."
awan stratus,"Awan rendah berwarna abu-abu yang menutupi langit."
awan cirrus,"Awan tinggi tipis berbentuk serabut dari kristal es."
awan cumulonimbus,"Awan menjulang tinggi yang menghasilkan badai petir."
kabut,"Awan yang terbentuk di permukaan tanah."
embun,"Titik air yang terbentuk ketika uap air mengembun di permukaan dingin."
hujan,"Air yang jatuh dari atmosfer ke permukaan bumi."
gerimis,"Hujan ringan dengan tetesan kecil."
salju,"Kristal es yang jatuh dari atmosfer."
es butiran,"Butiran es kecil yang terbentuk dari hujan beku."
hujan es,"Bola es yang terbentuk dalam badai petir kuat."
hujan beku,"Hujan yang membeku saat menyentuh permukaan dingin."
petir,"Pelepasan listrik secara tiba-tiba di atmosfer."
guntur,"Suara akibat pemuaian udara karena petir."
badai petir,"Badai dengan petir, guntur, dan hujan deras."
topan,"Siklon tropis dengan angin sangat kencang."
taifun,"Siklon tropis di Samudra Pasifik barat."
badai tropis,"Sistem badai dengan angin 39–73 mph."
depresi tropis,"Sistem badai tropis dengan angin kurang dari 39 mph."
mata badai,"Bagian pusat siklon tropis yang tenang."
dinding mata,"Cincin awan badai di sekitar mata badai."
pita hujan,"Gugus awan hujan yang melingkar di sekitar siklon."
gelombang badai,"Kenaikan permukaan laut akibat siklon tropis."
banjir,"Luapan air yang menutupi daratan."
kekeringan,"Periode panjang dengan curah hujan rendah."
gelombang panas,"Periode panjang dengan suhu sangat tinggi."
gelombang dingin,"Periode panjang dengan suhu sangat rendah."
badai salju,"Badai dengan salju lebat dan angin kencang."
whiteout,"Kondisi visibilitas hampir nol akibat salju."
